user1,password1,member,
user2,password2,member,
user3,password3,member,
user4,password4,member,
user5,password5,member,
user6,password6,member,
user7,password7,member,
user8,password8,member,
user9,password9,member,
user10,password10,librarian,
user11,password11,member,
user12,password12,member,
user13,password13,member,
user14,password14,member,
user15,password15,member,
user16,password16,member,
user17,password17,member,
user18,password18,member,
user19,password19,member,
user20,password20,librarian,
user21,password21,member,
user22,password22,member,
user23,password23,member,
user24,password24,member,
user25,password25,member,
user26,password26,member,
user27,password27,member,
user28,password28,member,
user29,password29,member,
user30,password30,librarian,
user31,password31,member,
user32,password32,member,
user33,password33,member,
user34,password34,member,
user35,password35,member,
user36,password36,member,
user37,password37,member,
user38,password38,member,
user39,password39,member,
user40,password40,librarian,
user41,password41,member,
user42,password42,member,
user43,password43,member,
user44,password44,member,
user45,password45,member,
user46,password46,member,
user47,password47,member,
user48,password48,member,
user49,password49,member,
user50,password50,librarian,
user51,password51,member,
user52,password52,member,
user53,password53,member,
user54,password54,member,
user55,password55,member,
user56,password56,member,
user57,password57,member,
user58,password58,member,
user59,password59,member,
user60,password60,librarian,
user61,password61,member,
user62,password62,member,
user63,password63,member,
user64,password64,member,
user65,password65,member,
user66,password66,member,
user67,password67,member,
user68,password68,member,
user69,password69,member,
user70,password70,librarian,
user71,password71,member,
user72,password72,member,
user73,password73,member,
user74,password74,member,
user75,password75,member,
user76,password76,member,
user77,password77,member,
user78,password78,member,
user79,password79,member,
user80,password80,librarian,
user81,password81,member,
user82,password82,member,
user83,password83,member,
user84,password84,member,
user85,password85,member,
user86,password86,member,
user87,password87,member,
user88,password88,member,
user89,password89,member,
user90,password90,librarian,
user91,password91,member,
user92,password92,member,
user93,password93,member,
user94,password94,member,
user95,password95,member,
user96,password96,member,
user97,password97,member,
user98,password98,member,
user99,password99,member,
user100,password100,librarian,
user101,password101,member,
user102,password102,member,
user103,password103,member,
user104,password104,member,
user105,password105,member,
user106,password106,member,
user107,password107,member,
user108,password108,member,
user109,password109,member,
user110,password110,librarian,
user111,password111,member,
user112,password112,member,
user113,password113,member,
user114,password114,member,
user115,password115,member,
user116,password116,member,
user117,password117,member,
user118,password118,member,
user119,password119,member,
user120,password120,librarian,
user121,password121,member,
user122,password122,member,
user123,password123,member,
user124,password124,member,
user125,password125,member,
user126,password126,member,
user127,password127,member,
user128,password128,member,
user129,password129,member,
user130,password130,librarian,
user131,password131,member,
user132,password132,member,
user133,password133,member,
user134,password134,member,
